Layers,Heads,Rank,Test_Type,Accuracy,Parse_Rate,Avg_Gen_Len
2,16,4,max,0.2,29.4,183.058
2,2,32,depth2,0.0,99.0,67.61
2,8,4,max,0.0,40.2,201.472
2,8,4,depth4,1.0,20.0,458.69
2,4,4,depth1,1.0,100.0,31.33
2,4,8,depth5,0.0,20.0,433.29
4,4,8,depth5,0.0,5.0,456.23
2,2,16,depth2,0.0,100.0,56.11
4,8,8,depth2,4.0,100.0,62.28
6,2,8,depth2,3.0,100.0,59.56
4,8,32,max,0.0,22.2,217.834
6,4,32,depth5,0.0,10.0,440.87
8,4,16,depth5,0.0,7.000000000000001,453.35
8,16,4,depth1,3.0,100.0,16.72
8,16,8,depth5,0.0,2.0,456.41
8,2,8,depth3,0.0,83.0,222.11
6,16,4,max,7.3999999999999995,58.199999999999996,226.93
2,16,8,depth2,0.0,98.0,98.18
2,4,16,depth4,0.0,25.0,445.87
6,2,4,depth4,0.0,26.0,444.64
2,8,16,depth1,2.0,95.0,22.17
2,8,8,depth5,0.0,27.0,413.65
2,16,32,max,0.0,35.0,184.626
4,2,4,depth3,0.0,97.0,177.92
2,8,4,depth3,0.0,91.0,246.04
4,2,4,depth4,0.0,27.0,422.23
6,2,4,depth1,4.0,100.0,24.38
8,16,8,depth3,1.0,100.0,178.05
6,4,4,depth4,0.0,36.0,444.56
4,16,4,depth1,2.0,100.0,21.17
4,2,16,max,0.2,26.8,213.33
4,2,16,depth3,0.0,99.0,178.58
8,16,32,depth2,4.0,100.0,61.51
6,2,32,depth4,0.0,33.0,406.09
4,2,32,depth5,0.0,17.0,432.78
4,4,32,depth1,1.0,82.0,32.14
8,8,8,depth1,2.0,100.0,22.01
4,16,8,depth2,2.0,100.0,57.76
6,4,16,max,0.4,22.8,218.356
8,8,16,depth1,1.0,100.0,19.61
8,16,32,depth5,0.0,0.0,473.41
8,16,8,max,5.0,27.200000000000003,238.72
6,4,8,depth4,0.0,21.0,444.09
2,2,32,depth1,2.0,100.0,19.78
8,8,32,depth4,0.0,27.0,460.06
2,16,4,depth3,1.0,92.0,225.81
4,16,8,depth3,0.0,99.0,187.59
2,16,32,depth2,0.0,99.0,84.21
6,8,8,depth2,5.0,100.0,62.46
6,2,8,max,0.2,34.0,172.782
8,8,8,max,3.0,30.0,308.506
4,4,8,max,0.2,35.4,209.184
8,2,16,depth4,0.0,25.0,467.85
8,16,4,depth2,1.0,100.0,62.21
8,2,8,depth5,0.0,1.0,473.55
8,8,4,depth2,1.0,100.0,59.61
2,8,32,depth5,0.0,27.0,421.98
2,16,4,depth1,0.0,94.0,23.76
4,4,4,depth1,0.0,91.0,37.15
2,16,16,max,0.0,32.6,192.548
8,16,16,depth2,2.0,100.0,61.51
2,2,8,depth4,1.0,26.0,438.66
4,16,32,max,0.4,29.2,233.024
2,16,32,depth1,0.0,92.0,22.47
2,4,16,depth1,0.0,100.0,27.79
4,16,8,depth4,0.0,25.0,437.88
4,8,32,depth5,0.0,7.000000000000001,453.08
4,16,4,max,0.6,34.4,207.216
8,16,8,depth2,3.0,100.0,61.34
8,2,8,depth2,2.0,98.0,78.2
4,16,16,depth1,3.0,99.0,20.52
4,16,16,depth5,0.0,5.0,459.01
8,4,32,depth1,2.0,100.0,20.69
4,2,16,depth1,2.0,100.0,23.41
4,4,16,depth3,0.0,89.0,246.87
6,16,4,depth1,2.0,99.0,20.6
8,4,32,depth4,0.0,42.0,421.11
2,16,16,depth1,0.0,96.0,22.57
6,4,4,depth2,4.0,100.0,63.53
6,16,4,depth2,4.0,99.0,66.03
6,8,8,depth4,0.0,22.0,477.93
4,8,32,depth3,0.0,100.0,160.75
8,8,32,depth2,3.0,100.0,61.9
2,2,16,depth5,0.0,7.000000000000001,461.53
6,2,8,depth4,0.0,33.0,432.26
6,16,32,depth3,1.0,100.0,180.05
2,4,32,depth4,0.0,24.0,443.78
6,8,32,depth4,0.0,31.0,465.22
6,2,32,depth3,1.0,97.0,189.33
4,8,16,max,0.0,20.4,212.54
4,8,8,depth5,0.0,12.0,429.94
6,8,16,depth1,1.0,100.0,20.67
2,8,32,depth4,0.0,39.0,391.57
2,4,4,depth4,0.0,24.0,442.55
6,16,16,depth3,0.0,97.0,195.37
8,2,4,depth5,0.0,5.0,480.29
6,2,4,depth3,2.0,86.0,227.48
2,2,32,depth4,0.0,14.000000000000002,473.86
6,2,32,depth1,1.0,100.0,20.62
6,8,8,depth5,0.0,1.0,477.19
2,2,16,max,0.0,23.200000000000003,257.718
8,2,8,max,0.0,7.000000000000001,281.41
2,4,4,depth2,2.0,99.0,87.52
6,4,32,depth4,0.0,26.0,463.29
8,8,32,depth3,0.0,98.0,172.01
8,2,32,depth4,0.0,15.0,478.45
8,8,32,depth1,2.0,99.0,21.37
8,2,32,depth2,0.0,98.0,76.44
6,16,32,depth5,0.0,15.0,434.48
6,4,32,depth1,3.0,100.0,24.59
4,2,32,depth4,0.0,24.0,445.18
6,2,32,max,0.4,32.2,184.364
8,4,16,depth4,0.0,34.0,458.12
2,2,4,depth4,0.0,20.0,458.79
2,4,16,depth3,0.0,82.0,304.38
4,8,16,depth1,2.0,100.0,18.86
8,4,32,depth2,2.0,100.0,62.99
6,2,32,depth5,0.0,27.0,410.91
4,16,32,depth5,0.0,11.0,458.04
8,4,4,depth4,0.0,36.0,445.38
4,4,32,depth3,1.0,89.0,233.16
4,2,8,depth1,3.0,100.0,23.38
8,2,4,depth4,0.0,24.0,480.76
6,4,4,depth5,0.0,5.0,434.19
4,4,4,max,0.4,20.8,234.716
6,8,16,depth4,0.0,31.0,463.52
6,4,16,depth4,0.0,30.0,445.34
2,16,16,depth3,0.0,88.0,225.65
8,16,16,depth3,2.0,100.0,179.57
8,8,8,depth3,1.0,100.0,180.06
2,4,32,depth5,0.0,16.0,439.61
8,16,16,depth4,0.0,13.0,479.15
4,2,32,depth3,0.0,98.0,185.82
2,8,8,depth3,0.0,90.0,263.17
4,16,16,depth3,2.0,99.0,196.78
6,16,32,depth4,0.0,30.0,428.5
6,4,16,depth1,7.000000000000001,100.0,23.88
2,8,16,depth3,1.0,93.0,238.2
8,16,4,max,2.8000000000000003,23.400000000000002,249.376
8,16,32,max,5.2,24.2,270.914
6,16,8,depth2,2.0,98.0,71.21
2,2,8,max,0.4,25.4,263.466
6,4,4,max,0.2,24.4,220.798
6,8,16,depth5,0.0,5.0,469.02
2,4,4,depth5,0.0,16.0,446.51
8,8,4,max,2.4,21.0,324.898
4,4,16,depth2,0.0,98.0,86.94
2,8,16,depth2,0.0,95.0,69.22
2,4,8,depth4,0.0,30.0,411.34
8,2,4,depth2,6.0,100.0,71.24
2,2,32,max,0.0,23.599999999999998,266.84
6,8,4,depth3,2.0,100.0,201.14
8,8,32,depth5,0.0,7.000000000000001,467.16
4,2,8,depth3,0.0,98.0,185.24
4,2,32,max,0.0,24.4,220.284
2,16,32,depth3,0.0,92.0,216.04
6,16,4,depth4,0.0,34.0,424.7
2,8,32,depth1,1.0,98.0,23.04
4,2,8,depth5,0.0,19.0,415.36
2,16,4,depth4,0.0,25.0,405.78
8,16,16,depth5,0.0,2.0,465.99
2,16,4,depth5,0.0,15.0,428.58
2,2,4,depth2,1.0,99.0,53.24
2,4,16,depth5,0.0,14.000000000000002,452.93
4,2,32,depth1,1.0,100.0,22.99
6,2,8,depth5,0.0,34.0,385.35
2,8,16,max,0.0,35.8,187.59
2,8,4,depth1,1.0,97.0,25.65
4,16,8,depth5,0.0,14.000000000000002,441.46
8,16,8,depth1,2.0,100.0,18.97
4,2,4,max,0.0,25.6,210.94
4,2,8,depth4,0.0,28.999999999999996,421.96
6,4,8,depth2,1.0,100.0,60.42
4,16,8,max,0.8,34.4,222.744
2,8,16,depth4,0.0,28.000000000000004,436.8
8,4,16,depth3,2.0,99.0,193.64
8,2,16,depth3,2.0,88.0,217.5
6,8,32,depth5,0.0,3.0,469.55
4,2,16,depth5,0.0,15.0,434.6
2,2,16,depth3,0.0,72.0,341.09
8,8,4,depth3,3.0,97.0,182.49
8,16,32,depth4,0.0,12.0,479.77
6,4,16,depth3,1.0,98.0,185.69
2,2,32,depth3,0.0,73.0,352.65
2,16,32,depth5,0.0,14.000000000000002,438.74
2,4,32,depth1,2.0,99.0,27.58
4,16,4,depth2,0.0,100.0,63.13
4,2,4,depth2,0.0,100.0,58.45
8,4,8,max,0.2,24.0,215.868
4,8,4,max,0.0,23.799999999999997,223.804
6,4,16,depth2,1.0,100.0,63.24
8,4,4,max,0.0,24.6,239.508
8,4,32,depth3,1.0,97.0,179.43
2,2,8,depth1,1.0,99.0,21.94
8,4,8,depth1,3.0,100.0,19.54
2,16,32,depth4,0.0,19.0,428.11
6,16,8,depth1,3.0,100.0,19.95
4,8,16,depth3,1.0,100.0,168.28
6,8,4,max,0.2,12.8,249.058
2,8,8,depth1,1.0,94.0,21.41
8,2,4,max,0.0,11.200000000000001,269.706
6,2,4,depth5,0.0,20.0,390.72
4,16,32,depth1,4.0,97.0,20.88
4,2,32,depth2,1.0,100.0,60.6
2,4,16,depth2,0.0,99.0,80.31
4,16,32,depth3,1.0,100.0,181.46
2,16,16,depth2,0.0,94.0,96.55
4,16,16,depth4,0.0,30.0,431.83
